Date,Open,High,Low,Close,Adj Close,Volume
2015-03-03,196.809998,200.240005,195.320007,199.559998,199.559998,4432300
2015-03-04,199.250000,202.520004,197.210007,202.440002,202.440002,4212000
2015-03-05,202.850006,206.190002,200.149994,200.630005,200.630005,4877000
2015-03-06,199.210007,200.750000,192.149994,193.880005,193.880005,6712400
2015-03-09,194.389999,194.490005,188.250000,190.880005,190.880005,6736700
2015-03-10,188.460007,193.500000,187.600006,190.320007,190.320007,5530900
2015-03-11,191.149994,196.179993,191.009995,193.740005,193.740005,4974900
2015-03-12,193.750000,194.449997,189.750000,191.070007,191.070007,4149300
2015-03-13,188.949997,191.750000,187.320007,188.679993,188.679993,5434300
2015-03-16,192.000000,195.910004,189.800003,195.699997,195.699997,5628800
2015-03-17,195.429993,198.710007,193.940002,194.729996,194.729996,4883200
2015-03-18,194.960007,200.880005,193.110001,200.710007,200.710007,4756300
2015-03-19,202.000000,204.589996,194.529999,195.649994,195.649994,8475200
2015-03-20,197.449997,198.990005,195.619995,198.080002,198.080002,4269500
2015-03-23,198.500000,200.500000,197.470001,199.630005,199.630005,2620900
2015-03-24,201.580002,203.789993,199.750000,201.720001,201.720001,3649900
2015-03-25,198.270004,198.589996,192.699997,194.300003,194.300003,5730400
2015-03-26,193.919998,194.789993,189.699997,190.410004,190.410004,4128000
2015-03-27,189.070007,189.289993,181.399994,185.000000,185.000000,8526900
2015-03-30,185.850006,192.250000,181.800003,190.570007,190.570007,10089500
2015-03-31,193.529999,193.759995,188.410004,188.770004,188.770004,5026600
2015-04-01,188.699997,192.300003,186.050003,187.589996,187.589996,3786000
2015-04-02,190.229996,193.229996,190.000000,191.000000,191.000000,5010400
2015-04-06,198.000000,207.750000,197.500000,203.100006,203.100006,12455800
2015-04-07,202.509995,205.059998,201.139999,203.250000,203.250000,4347900
2015-04-08,208.199997,210.899994,205.869995,207.669998,207.669998,6303100
2015-04-09,208.429993,210.369995,206.119995,210.089996,210.089996,3800200
2015-04-10,209.850006,211.649994,209.000000,210.899994,210.899994,4067700
2015-04-13,210.440002,213.000000,209.050003,209.779999,209.779999,3758200
2015-04-14,208.570007,209.490005,205.500000,207.460007,207.460007,3017000
2015-04-15,207.460007,209.589996,206.600006,207.830002,207.830002,1952400
2015-04-16,207.699997,209.169998,206.289993,206.699997,206.699997,1659100
2015-04-17,204.990005,206.880005,203.500000,206.789993,206.789993,2469900
2015-04-20,206.779999,207.850006,203.850006,205.270004,205.270004,2554700
2015-04-21,205.800003,210.750000,204.309998,209.410004,209.410004,3432500
2015-04-22,212.500000,221.880005,211.690002,219.440002,219.440002,7863000
2015-04-23,218.270004,221.479996,217.149994,218.600006,218.600006,4411200
2015-04-24,220.500000,220.800003,218.009995,218.429993,218.429993,2427800
2015-04-27,222.559998,238.750000,222.000000,231.550003,231.550003,11672600
2015-04-28,234.750000,235.500000,228.029999,230.479996,230.479996,6085400
2015-04-29,230.050003,234.970001,227.630005,232.449997,232.449997,3936100
2015-04-30,230.389999,232.889999,225.169998,226.050003,226.050003,3911900
2015-05-01,229.940002,231.770004,220.410004,226.029999,226.029999,5281700
2015-05-04,228.179993,234.729996,227.110001,230.509995,230.509995,4434600
2015-05-05,237.759995,239.500000,229.130005,232.949997,232.949997,5796900
2015-05-06,234.100006,234.470001,228.199997,230.429993,230.429993,5270900
2015-05-07,221.000000,237.479996,220.250000,236.800003,236.800003,9455900
2015-05-08,235.990005,238.410004,233.699997,236.610001,236.610001,4668200
2015-05-11,236.289993,242.880005,235.309998,239.490005,239.490005,5672300
2015-05-12,240.110001,246.350006,238.190002,244.740005,244.740005,6363400
